type,latitude,longitude,course,name,desc
T,40.422930000,-105.077230000,157.4,,
T,40.422810000,-105.077160000,156.1,,
T,40.422720000,-105.077100000,153.1,,
T,40.422610000,-105.077040000,157.4,,
T,40.422530000,-105.076980000,150.3,,
T,40.422410000,-105.076880000,147.6,,
T,40.422270000,-105.076770000,149.1,,
T,40.422150000,-105.076670000,147.6,,
T,40.422020000,-105.076550000,144.9,,
T,40.421900000,-105.076420000,140.5,,
T,40.421680000,-105.076180000,140.3,,
T,40.421370000,-105.075840000,140.1,,
T,40.421350000,-105.075830000,159.2,,
T,40.421160000,-105.075610000,138.6,,
T,40.421090000,-105.075530000,139.0,,
T,40.420550000,-105.074920000,139.3,,
T,40.420400000,-105.074750000,139.2,,
T,40.420080000,-105.074400000,140.2,,
T,40.419920000,-105.074220000,139.4,,
T,40.419830000,-105.074130000,142.7,,
T,40.419740000,-105.074050000,145.9,,
T,40.419570000,-105.073900000,146.1,,
T,40.419520000,-105.073860000,148.7,,
T,40.419410000,-105.073770000,148.1,,
T,40.419340000,-105.073720000,151.5,,
T,40.419260000,-105.073670000,154.6,,
T,40.419160000,-105.073600000,151.9,,
T,40.419010000,-105.073510000,155.4,,
T,40.418950000,-105.073390000,123.3,,
T,40.418710000,-105.073290000,162.4,,
T,40.418600000,-105.073240000,160.9,,
T,40.418500000,-105.073200000,163.1,,
T,40.418390000,-105.073170000,168.3,,
T,40.418290000,-105.073140000,167.1,,
T,40.418200000,-105.073120000,170.4,,
T,40.418070000,-105.073090000,170.0,,
T,40.417950000,-105.073070000,172.8,,
T,40.417840000,-105.073050000,172.1,,
T,40.417720000,-105.073030000,172.8,,
T,40.417610000,-105.073030000,180.0,,
T,40.417550000,-105.073020000,172.8,,
T,40.417450000,-105.073020000,180.0,,
T,40.417210000,-105.073020000,180.0,,
T,40.417140000,-105.073020000,180.0,,
T,40.416780000,-105.073020000,180.0,,
T,40.416430000,-105.073030000,181.2,,
T,40.415870000,-105.073030000,180.0,,
T,40.415660000,-105.073030000,180.0,,
T,40.415430000,-105.073030000,180.0,,
T,40.415280000,-105.073030000,180.0,,
T,40.414960000,-105.073030000,180.0,,
T,40.414350000,-105.073040000,180.7,,
T,40.413800000,-105.073050000,180.8,,
T,40.413730000,-105.073050000,180.0,,
T,40.413250000,-105.073060000,180.9,,
T,40.412860000,-105.073070000,181.1,,
T,40.412800000,-105.073140000,221.6,,
T,40.412440000,-105.073130000,178.8,,
T,40.411970000,-105.073140000,180.9,,
T,40.411460000,-105.073140000,180.0,,
T,40.411390000,-105.073150000,186.2,,
T,40.411350000,-105.073150000,180.0,,
T,40.411310000,-105.073160000,190.8,,
T,40.411270000,-105.073170000,190.8,,
T,40.411210000,-105.073200000,200.8,,
T,40.411170000,-105.073220000,200.8,,
T,40.411140000,-105.073240000,206.9,,
T,40.411110000,-105.073270000,217.3,,
T,40.411090000,-105.073300000,228.8,,
T,40.411060000,-105.073330000,217.3,,
T,40.411040000,-105.073360000,228.8,,
T,40.411020000,-105.073390000,228.8,,
T,40.411000000,-105.073420000,228.8,,
T,40.410980000,-105.073450000,228.8,,
T,40.410960000,-105.073500000,242.3,,
T,40.410930000,-105.073650000,255.3,,
T,40.410900000,-105.073770000,251.8,,
T,40.410880000,-105.073860000,253.7,,
T,40.410860000,-105.073940000,251.8,,
T,40.410830000,-105.074010000,240.6,,
T,40.410790000,-105.074070000,228.8,,
T,40.410750000,-105.074130000,228.8,,
T,40.410700000,-105.074200000,226.8,,
T,40.410640000,-105.074250000,212.4,,
T,40.410580000,-105.074290000,206.9,,
T,40.410530000,-105.074320000,204.6,,
T,40.410480000,-105.074340000,196.9,,
T,40.410430000,-105.074350000,188.7,,
T,40.410390000,-105.074360000,190.8,,
T,40.410330000,-105.074360000,180.0,,
T,40.410120000,-105.074360000,180.0,,
T,40.410100000,-105.074360000,180.0,,
T,40.409200000,-105.074390000,181.5,,
T,40.408210000,-105.074390000,180.0,,
T,40.407520000,-105.074390000,180.0,,
T,40.407340000,-105.074400000,182.4,,
T,40.407220000,-105.074400000,180.0,,
T,40.406660000,-105.074410000,180.8,,
T,40.405970000,-105.074420000,180.6,,
T,40.404700000,-105.074440000,180.7,,
T,40.403710000,-105.074450000,180.4,,
T,40.402690000,-105.074460000,180.4,,
T,40.402630000,-105.074460000,180.0,,
T,40.402310000,-105.074460000,180.0,,
T,40.401690000,-105.074460000,180.0,,
T,40.401140000,-105.074470000,180.8,,
T,40.399610000,-105.074490000,180.6,,
T,40.398590000,-105.074500000,180.4,,
T,40.398330000,-105.074500000,180.0,,
T,40.398100000,-105.074500000,180.0,,
T,40.397550000,-105.074510000,180.8,,
T,40.396500000,-105.074520000,180.4,,
T,40.395460000,-105.074530000,180.4,,
T,40.394420000,-105.074550000,180.8,,
T,40.393990000,-105.074550000,180.0,,
T,40.393400000,-105.074550000,180.0,,
T,40.393130000,-105.074560000,181.6,,
T,40.392740000,-105.074560000,180.0,,
T,40.391750000,-105.074560000,180.0,,
T,40.390790000,-105.074580000,180.9,,
T,40.390240000,-105.074580000,180.0,,
T,40.389120000,-105.074610000,181.2,,
T,40.388530000,-105.074630000,181.5,,
T,40.388430000,-105.074630000,180.0,,
T,40.388350000,-105.074630000,180.0,,
T,40.388310000,-105.074630000,180.0,,
T,40.388260000,-105.074630000,180.0,,
T,40.388200000,-105.074620000,172.8,,
T,40.388170000,-105.074610000,165.8,,
T,40.388140000,-105.074600000,165.8,,
T,40.388110000,-105.074590000,165.8,,
T,40.388070000,-105.074570000,159.2,,
T,40.388010000,-105.074540000,159.2,,
T,40.387950000,-105.074500000,153.1,,
T,40.387890000,-105.074460000,153.1,,
T,40.387850000,-105.074430000,150.3,,
T,40.387800000,-105.074380000,142.7,,
T,40.387760000,-105.074340000,142.7,,
T,40.387700000,-105.074270000,138.4,,
T,40.387630000,-105.074180000,135.6,,
T,40.387440000,-105.073920000,133.8,,
T,40.387310000,-105.073750000,135.1,,
T,40.387250000,-105.073680000,138.4,,
T,40.387200000,-105.073640000,148.6,,
